horse_id;horsename;horsenumber;weight;draw;sex;saddle;dam;damby;colour;equipment;equipmentshoes;equipmentheadgear;equipmenttongue;gelded;owner;race_num;raceprogramcode;racedate;race_date_time;month;horse_ref;lengthsbehind;meritrating;race_name;race_description;race_surface;race_class;race_distance;result_pos1;result_pos2;result_pos3;result_pos4;finish_position;jockey_name;venue;last_month_runs;ltwo_month_runs;last_month_wins;last_two_month_wins;perc_win_one_month;perc_win_ltwo_month;last_month_seconds;last_two_month_second;perc_sec_lone_month;perc_sec_ltwo_month;last_month_third;last_two_month_third;perc_third_lone_month;perc_third_ltwo_month;last_month_FOURTH;last_two_month_FOURTH;perc_fourth_lone_month;perc_forth_ltwo_month;Last_month_Tfour_positions;Last_two_month_Tfour_positions;perc_topfor_lone_month;perc_topfor_ltwo_month;trainercurrent;T_ltwo_month_runs;T_perc_win_ltwo_month;T_perc_sec_ltwo_month;T_perc_third_ltwo_month;T_perc_forth_ltwo_month;T_perc_topfor_ltwo_month;breeder;B_venue;B_ltwo_month_runs;B_perc_win_ltwo_month;B_perc_sec_ltwo_month;B_perc_third_ltwo_month;B_perc_forth_ltwo_month;B_perc_topfor_ltwo_month;hj_ltwo_month_runs;hj_ltwo_month_top4;hj_ltwo_month_top3;hj_ltwo_month_top2;hj_ltwo_month_wins;h_ltwo_month_runs;h_ltwo_month_top4;h_ltwo_month_top3;h_ltwo_month_top2;h_ltwo_month_wins;target_win;0;1
372731;KAMENSKY;7;60;7;C;7;Secret Mission;Fort Wood (USA);b;A   ;NA;NA;NA;NULL;Messrs P J Moor &amp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
372735;SURJAY;2;60;2;G;2;Something Of Value;Badger Land (USA);b;A   ;NA;NA;NA;NULL;Mrs S Viljoen;6;WGR;2024/07/28 12:05;2024/07/28 12:05;7;225111;0;119;MERCURY SPRINT (Grade 1);Horses at Weight-For-Age;Turf;A;1200;2;13;4;7;1;L Mxothwa;Hollywoodbets Greyville;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Brett Crawford;0;0;0;0;0;0;Estate Late Dr R J Antrobus;Hollywoodbets Greyville;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0.896;0.104
372736;LUCKY LAD;13;59.5;13;C;13;Imperial State;Caesour (USA);b;ABt ;NA;B;t;NULL;Mr A R &amp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
372737;ROYAL AUSSIE;4;60;4;G;4;Abelia (AUS);Smart Missile (AUS);b;A   ;NA;NA;NA;NULL;Mr D A Squance, Mrs S Viljoen &amp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
372738;SUN BLUSHED;7;60;7;G;7;Natural Tan;Kildonan;ch;A   ;NA;NA;NA;NULL;Mr A F J Duncan &amp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
372739;AT MY COMMAND;5;60;5;G;5;Imperious Girl;National Emblem;b;A   ;NA;NA;NA;NULL;Khaya Stables (Pty) Ltd;6;WGR;2024/07/28 12:05;2024/07/28 12:05;7;253237;1.35;119;MERCURY SPRINT (Grade 1);Horses at Weight-For-Age;Turf;A;1200;2;13;4;7;10;C Zackey;Hollywoodbets Greyville;18;43;3;8;16.6666666666667;18.6046511627907;4;25;22.2222222222222;25.5813953488372;2;4;11.1111111111111;9.30232558139535;0;3;0;6.97674418604651;9;26;50;60.4651162790698;Brett Crawford;0;0;0;0;0;0;Varsfontein Stud;Hollywoodbets Greyville;30;13.3333333333333;16.6666666666667;6.66666666666667;13.3333333333333;50;1;1;1;1;0;1;1;1;1;0;0;0.798;0.202
372740;I AM GIANT;3;60;3;G;3;Vars Honour;Var (USA);b;A   ;NA;NA;NA;NULL;Hollywood Syndicate (Nom: Mr A Delpech);6;WGR;2024/07/28 12:05;2024/07/28 12:05;7;253062;2.05;118;MERCURY SPRINT (Grade 1);Horses at Weight-For-Age;Turf;A;1200;2;13;4;7;10;K Matsunyane;Hollywoodbets Greyville;14;25;0;0;0;0;1;14;7.14285714285714;4;0;0;0;0;0;4;0;16;1;5;7.14285714285714;20;Brett Crawford;0;0;0;0;0;0;Mr A C Dickerson;Hollywoodbets Greyville;0;0;0;0;0;0;1;1;1;0;0;1;1;1;0;0;0;0.834;0.166
372741;MRS BROWNING;10;57.5;10;F;10;Miss Galidora (IRE);Galileo (IRE);b;A   ;NA;NA;NA;NULL;Messrs J F &amp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
372742;GLADATORIAN;11;60;11;G;11;Harvard Crimson;Dynasty;b;A t ;NA;NA;t;NULL;Messrs Late Agasthamuni Gujadhur, E G Hart de Keating, M L Jean Hardy &amp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
372743;SNOW PILOT;6;59.5;6;C;6;Snowdance;Captain Al;b;A   ;NA;NA;NA;NULL;Drakenstein Stud (Nom: Mrs G A Rupert);6;WGR;2024/07/28 12:05;2024/07/28 12:05;7;227258;4.20;120;MERCURY SPRINT (Grade 1);Horses at Weight-For-Age;Turf;A;1200;2;13;4;7;10;G van Niekerk;Hollywoodbets Greyville;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Justin Snaith;0;0;0;0;0;0;Drakenstein Stud (Nom: Mrs G A Rupert);Hollywoodbets Greyville;34;17.6470588235294;5.88235294117647;11.7647058823529;11.7647058823529;47.0588235294118;0;0;0;0;0;2;1;1;0;0;0;0.87;0.13
372744;CRUISE CONTROL;12;60;12;G;12;Eurythmics;Sail From Seattle (CAN);b;AH  ;H;NA;NA;NULL;Hollywood Syndicate (Nom: Mr A Delpech);6;WGR;2024/07/28 12:05;2024/07/28 12:05;7;253125;4.90;118;MERCURY SPRINT (Grade 1);Horses at Weight-For-Age;Turf;A;1200;2;13;4;7;10;M Yeni;Hollywoodbets Greyville;23;47;2;4;8.69565217391304;8.51063829787234;1;26;4.34782608695652;8.51063829787234;2;4;8.69565217391304;8.51063829787234;3;3;13.0434782608696;6.38297872340426;8;15;34.7826086956522;31.9148936170213;Duncan Howells;0;0;0;0;0;0;Boland Stud;Hollywoodbets Greyville;7;0;14.2857142857143;28.5714285714286;0;42.8571428571429;0;0;0;0;0;2;2;1;1;1;0;0.858;0.142
372745;QUASIFORSURE;9;60;9;G;9;Surefire;Count Dubois (GB);b;A   ;NA;NA;NA;NULL;Mr G F Mamet, SMB Insurance Brokers CC (Nom: Mr M A Brackett) &amp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
372746;GOLDEN SICKLE;1;57;1;F;1;Victorian Secret;Captain Al;b;A   ;NA;NA;NA;NULL;Mrs S Viljoen;6;WGR;2024/07/28 12:05;2024/07/28 12:05;7;227599;9.60;122;MERCURY SPRINT (Grade 1);Horses at Weight-For-Age;Turf;A;1200;2;13;4;7;10;C Habib;Hollywoodbets Greyville;24;46;1;3;4.16666666666667;6.52173913043478;1;27;4.16666666666667;8.69565217391304;2;3;8.33333333333333;6.52173913043478;5;7;20.8333333333333;15.2173913043478;9;17;37.5;36.9565217391304;Tony Peter;0;0;0;0;0;0;Varsfontein Stud;Hollywoodbets Greyville;30;13.3333333333333;16.6666666666667;6.66666666666667;13.3333333333333;50;0;0;0;0;0;0;0;0;0;0;0;0.81;0.19
372747;JUST BE LEKKER;8;57;8;F;8;Polly Wolly Doodle;Judpot (USA);b;A   ;NA;NA;NA;NULL;Ralphs Racing (Pty) Ltd (Nom: Miss K Ralphs);6;WGR;2024/07/28 12:05;2024/07/28 12:05;7;226744;0.00;103;MERCURY SPRINT (Grade 1);Horses at Weight-For-Age;Turf;A;1200;2;13;4;7;10;S Khumalo;Hollywoodbets Greyville;18;35;4;6;22.2222222222222;17.1428571428571;4;19;22.2222222222222;14.2857142857143;1;1;5.55555555555556;2.85714285714286;0;0;0;0;9;12;50;34.2857142857143;Candice Dawson;0;0;0;0;0;0;Ralphs Syndicate;Hollywoodbets Greyville;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.842;0.158
372748;MASTER REDOUTE;3;58.5;3;G;3;Lady Redoute (AUS);Redoute&#39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
372749;SHOOT THE RAPIDS;15;54;15;C;15;Rapid Flow;Modern Day (USA);b;A   ;NA;NA;NA;NULL;Mr Sid Moodley;7;WGR;2024/07/28 12:05;2024/07/28 12:05;7;228463;0.20;99;WORLD POOL GOLD CUP (Grade 3);Open;Turf;A;3200;3;15;12;11;2;M Yeni;Hollywoodbets Greyville;23;47;2;4;8.69565217391304;8.51063829787234;1;26;4.34782608695652;8.51063829787234;2;4;8.69565217391304;8.51063829787234;3;3;13.0434782608696;6.38297872340426;8;15;34.7826086956522;31.9148936170213;Frank Robinson;0;0;0;0;0;0;Wynnholme Stud;Hollywoodbets Greyville;8;0;0;0;12.5;12.5;0;0;0;0;0;3;0;0;0;0;0;0.89;0.11
372750;PONTE PIETRA;12;55.5;12;G;12;Fair Verona (IRE);Galileo (IRE);b;AH e;H;NA;NA;NULL;Messrs B D Airey, S Ferguson &amp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
372751;FUTURE SWING;11;56.5;11;G;11;Carousel Swing;Trippi (USA);b;A   ;NA;NA;NA;NULL;Drakenstein Stud (Nom: Mrs G A Rupert), Kalinga &amp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
